date,home,away,market,outcome,prob,odds,edge,EV
2025-12-08 19:45:00,Torino,Milan,TG Interval,2-4,0.542882841032695,3.0,0.2095495076993617,0.6286485230980849
2025-12-06 19:45:00,Verona,Atalanta,TG Interval,2-4,0.5397234819311109,3.0,0.20639014859777755,0.6191704457933325
2025-12-06 17:00:00,Inter,Como,TG Interval,1-3,0.538877344058982,3.0,0.2055440107256487,0.6166320321769461
2025-12-06 17:00:00,Inter,Como,TG Interval,2-4,0.5356845017304749,3.0,0.20235116839714157,0.6070535051914248
2025-12-07 14:00:00,Cagliari,Roma,TG Interval,2-4,0.535166050784319,3.0,0.2018327174509857,0.605498152352957
2025-12-13 19:45:00,Atalanta,Cagliari,TG Interval,2-4,0.533656341371292,3.0,0.20032300803795872,0.6009690241138761
2025-12-07 11:30:00,Cremonese,Lecce,TG Interval,2-4,0.5327957150250384,3.0,0.1994623816917051,0.5983871450751153
2025-12-13 14:00:00,Torino,Cremonese,OU 3.5,Under,0.8407463733800749,1.9,0.34074637338007485,0.5974181094221422
2025-12-13 14:00:00,Torino,Cremonese,TG Interval,2-5,0.5285575653646779,3.0,0.1952242320313446,0.5856726960940337
2025-12-08 17:00:00,Udinese,Genoa,TG Interval,2-4,0.5273667790701403,3.0,0.19403344573680698,0.582100337210421
2025-12-12 19:45:00,Lecce,Pisa,TG Interval,2-4,0.522118367912733,3.0,0.1887850345793997,0.5663551037381991
2025-12-06 14:00:00,Sassuolo,Fiorentina,TG Interval,2-4,0.5208468115734789,3.0,0.18751347824014558,0.5625404347204368
2025-12-08 14:00:00,Pisa,Parma,OU 3.5,Under,0.8202385996620393,1.9,0.32023859966203927,0.5584533393578746
2025-12-13 17:00:00,Parma,Lazio,TG Interval,2-4,0.5137440605998078,3.0,0.1804107272664745,0.5412321817994235
2025-12-13 17:00:00,Parma,Lazio,OU 3.5,Under,0.803235299063851,1.9,0.30323529906385105,0.526147068221317
2025-12-06 17:00:00,Inter,Como,TG Interval,3-6,0.5076146149002989,3.0,0.1742812815669656,0.5228438447008967
2025-12-08 14:00:00,Pisa,Parma,TG Interval,2-4,0.5043467147993368,3.0,0.17101338146600348,0.5130401443980104
2025-12-06 14:00:00,Sassuolo,Fiorentina,OU 3.5,Under,0.7857549657957925,1.9,0.2857549657957925,0.49293443501200573
2025-12-12 19:45:00,Lecce,Pisa,OU 3.5,Under,0.7853992486243471,1.9,0.28539924862434707,0.49225857238625936
2025-12-06 17:00:00,Inter,Como,OU 1.5,Over,0.7802261267737834,1.9,0.28022612677378345,0.48242964087018847
2025-12-08 17:00:00,Udinese,Genoa,OU 3.5,Under,0.7731256820532288,1.9,0.27312568205322885,0.46893879590113463
2025-12-13 14:00:00,Torino,Cremonese,TG Interval,2-4,0.48652471550486054,3.0,0.15319138217152722,0.4595741465145817
2025-12-07 17:00:00,Lazio,Bologna,TG Interval,3-6,0.4758285116525884,3.0,0.14249517831925507,0.4274855349577651
2025-12-07 19:45:00,Napoli,Juventus,TG Interval,3-6,0.4741924834353805,3.0,0.1408591501020472,0.42257745030614147
2025-12-07 17:00:00,Lazio,Bologna,OU 1.5,Over,0.7424798596235422,1.9,0.24247985962354224,0.4107117332847301
2025-12-07 14:00:00,Cagliari,Roma,OU 3.5,Under,0.7414125633914654,1.9,0.24141256339146544,0.4086838704437843
2025-12-13 19:45:00,Atalanta,Cagliari,OU 3.5,Under,0.7410270690547047,1.9,0.24102706905470472,0.40795143120393895
2025-12-07 19:45:00,Napoli,Juventus,OU 1.5,Over,0.7406407882334737,1.9,0.24064078823347368,0.4072174976435998
2025-12-07 11:30:00,Cremonese,Lecce,OU 3.5,Under,0.7276534316400142,1.9,0.22765343164001417,0.38254152011602693
2025-12-06 19:45:00,Verona,Atalanta,OU 3.5,Under,0.7097966288089306,1.9,0.20979662880893057,0.34861359473696796
2025-12-08 19:45:00,Torino,Milan,OU 3.5,Under,0.7081977428369479,1.9,0.20819774283694792,0.34557571139020093
2025-12-08 19:45:00,Torino,Milan,OU 1.5,Over,0.7041801598193322,1.9,0.20418015981933224,0.3379423036567313
2025-12-06 19:45:00,Verona,Atalanta,OU 1.5,Over,0.700622086355007,1.9,0.200622086355007,0.3311819640745133
2025-12-08 19:45:00,Torino,Milan,TG Interval,3-6,0.44090589545683545,3.0,0.10757256212350214,0.32271768637050635
2025-12-06 19:45:00,Verona,Atalanta,TG Interval,3-6,0.43770094693138634,3.0,0.10436761359805302,0.31310284079415895
2025-12-07 11:30:00,Cremonese,Lecce,OU 1.5,Over,0.681473603470297,1.9,0.18147360347029695,0.2947998465935642
2025-12-07 14:00:00,Cagliari,Roma,OU 1.5,Over,0.6725517797064052,1.9,0.17255177970640523,0.27784838144216994
2025-12-13 19:45:00,Atalanta,Cagliari,OU 1.5,Over,0.6717091404448124,1.9,0.17170914044481245,0.2762473668451435
2025-12-07 11:30:00,Cremonese,Lecce,TG Interval,3-6,0.42031674561137644,3.0,0.08698341227804313,0.26095023683412943
2025-12-07 19:45:00,Napoli,Juventus,OU 3.5,Under,0.6634014570745556,1.9,0.16340145707455556,0.2604627684416554
2025-12-07 17:00:00,Lazio,Bologna,OU 3.5,Under,0.6609640062903982,1.9,0.1609640062903982,0.2558316119517565
2025-12-07 14:00:00,Cagliari,Roma,TG Interval,3-6,0.4115077135208954,3.0,0.07817438018756206,0.2345231405626862
2025-12-13 19:45:00,Atalanta,Cagliari,TG Interval,3-6,0.41087833425466097,3.0,0.07754500092132766,0.23263500276398297
2025-12-13 14:00:00,Torino,Cremonese,OU 2.5,Under,0.6453618467124987,1.9,0.14536184671249874,0.2261875087537475
2025-12-08 17:00:00,Udinese,Genoa,OU 1.5,Over,0.6421246863173364,1.9,0.14212468631733643,0.22003690400293907
2025-12-12 19:45:00,Lecce,Pisa,OU 1.5,Over,0.6286627852540049,1.9,0.12866278525400487,0.19445929198260914
2025-12-06 14:00:00,Sassuolo,Fiorentina,OU 1.5,Over,0.6273918970556313,1.9,0.12739189705563125,0.19204460440569937
2025-12-08 14:00:00,Pisa,Parma,OU 2.5,Under,0.6222911493964717,1.9,0.12229114939647168,0.18235318385329613
2025-12-13 17:00:00,Parma,Lazio,OU 1.5,Over,0.6085326057769527,1.9,0.10853260577695267,0.1562119509762101
2025-12-06 17:00:00,Inter,Como,OU 3.5,Under,0.6057672361495814,1.9,0.10576723614958139,0.15095774868420464
2025-12-13 17:00:00,Parma,Lazio,OU 2.5,Under,0.6049367828089243,1.9,0.10493678280892427,0.14937988733695606
2025-12-08 14:00:00,Pisa,Parma,OU 1.5,Over,0.5882454668172574,1.9,0.08824546681725742,0.11766638695278897
2025-12-06 14:00:00,Sassuolo,Fiorentina,OU 2.5,Under,0.5879672490230238,1.9,0.08796724902302377,0.11713777314374507
2025-12-07 11:30:00,Cremonese,Lecce,1X2,H,0.5581865346365374,2.0,0.22485320130320413,0.11637306927307489
2025-12-12 19:45:00,Lecce,Pisa,OU 2.5,Under,0.58723667955214,1.9,0.08723667955213998,0.11574969114906586
2025-12-08 17:00:00,Udinese,Genoa,OU 2.5,Under,0.5752313633151879,1.9,0.07523136331518787,0.09293959029885701
