scope,metric,baseline,candidate,delta_candidate_minus_baseline,n_matches
Liga I,side_rmse,1.0786323541283254,1.0423526882718277,-0.03627966585649767,231.0
Liga I,total_rmse,1.4889317221579401,1.4721644582368603,-0.016767263921079856,231.0
Liga I,side_poisson_nll,0.874959685178776,0.8461757434785709,-0.02878394170020504,231.0
Liga I,side_brier_goal,0.1697846011531271,0.16375232688657104,-0.006032274266556059,231.0
Liga I,side_logloss_goal,0.5226177059605461,0.5104327341567206,-0.012184971803825495,231.0
Ligue 1,side_rmse,1.0281979936319374,1.0226859351251052,-0.005512058506832229,216.0
Ligue 1,total_rmse,1.4984811922958825,1.5009778609220519,0.002496668626169374,216.0
Ligue 1,side_poisson_nll,0.710493870527707,0.6990912724154305,-0.011402598112276507,216.0
Ligue 1,side_brier_goal,0.17046969795913383,0.1625555253139147,-0.007914172645219125,216.0
Ligue 1,side_logloss_goal,0.5096446391497383,0.48931263019527077,-0.020332008954467573,216.0
Ligue 2,side_rmse,0.9386256215254968,0.9332459261643702,-0.005379695361126591,223.0
Ligue 2,total_rmse,1.341789513274093,1.3559098223065853,0.014120309032492395,223.0
Ligue 2,side_poisson_nll,0.8273363606167351,0.8053664093983781,-0.021969951218356987,223.0
Ligue 2,side_brier_goal,0.17419152732147414,0.16548231385075798,-0.008709213470716154,223.0
Ligue 2,side_logloss_goal,0.5251322805495512,0.5055081438917756,-0.019624136657775626,223.0
Premier League,side_rmse,0.9758310650091729,0.9835032336895188,0.0076721686803458145,281.0
Premier League,total_rmse,1.3958354764126244,1.451434036609176,0.05559856019655163,281.0
Premier League,side_poisson_nll,0.7952802391236254,0.7852716990903358,-0.010008540033289659,281.0
Premier League,side_brier_goal,0.16276607013011773,0.1580120221265764,-0.004754048003541345,281.0
Premier League,side_logloss_goal,0.4987512550765202,0.491315383311819,-0.007435871764701174,281.0
Primeira Liga,side_rmse,1.0678275742004788,1.0252893998190211,-0.04253817438145768,215.0
Primeira Liga,total_rmse,1.5168349320609709,1.4637082631515428,-0.053126668909428076,215.0
Primeira Liga,side_poisson_nll,0.7570436873811175,0.7231476270354241,-0.03389606034569337,215.0
Primeira Liga,side_brier_goal,0.17106073484813716,0.16194115462443406,-0.0091195802237031,215.0
Primeira Liga,side_logloss_goal,0.5165831208947124,0.49503863056314634,-0.021544490331566024,215.0
Serie A,side_rmse,0.9675155028417162,0.9397876221014466,-0.02772788074026955,268.0
Serie A,total_rmse,1.3902571780416413,1.3504556579405045,-0.0398015201011368,268.0
Serie A,side_poisson_nll,0.8354191644163083,0.8127389064413447,-0.022680257974963536,268.0
Serie A,side_brier_goal,0.18221561323516916,0.17693897777089837,-0.00527663546427079,268.0
Serie A,side_logloss_goal,0.5440417075038277,0.5326737502652713,-0.011367957238556436,268.0
Serie B,side_rmse,0.908686914650563,0.8816777396086373,-0.02700917504192568,270.0
Serie B,total_rmse,1.2911250258315983,1.2724682247401309,-0.01865680109146739,270.0
Serie B,side_poisson_nll,0.8507513407735137,0.8313239715495113,-0.019427369224002344,270.0
Serie B,side_brier_goal,0.17215920376560268,0.16601375730139603,-0.006145446464206644,270.0
Serie B,side_logloss_goal,0.5201409533822957,0.504683283324606,-0.01545767005768972,270.0
Süper Lig,side_rmse,0.943396088885015,0.9225213184607661,-0.0208747704242489,216.0
Süper Lig,total_rmse,1.3402905766706346,1.367991520334916,0.02770094366428144,216.0
Süper Lig,side_poisson_nll,0.8003600293349801,0.7850879328935503,-0.015272096441429794,216.0
Süper Lig,side_brier_goal,0.16864086127403624,0.16797822033001839,-0.000662640944017856,216.0
