country,league,alert,verif,datameci,orameci,etapa,txtechipa1,place1,txtechipa2,place2,underprob,underoddsc,cotau,overprob,overoddsc,cotao,homeprob,homeoddsc,cotaa,drawprob,drawoddsc,cotae,awayprob,awayoddsc,cotad,score,validated,result,scor1,scor2,scorp1,scorp2,elohomeo,eloawayo,elodiff,totalgh,totalga,totaldiff,scoredh,scoreda,scodiff,receivedh,receiveda,recdiff,ggh,gga,ngh,nga,gh0,gh1,gh2,gh3,gh4,ga0,ga1,ga2,ga3,ga4,goalminh,goalmina,formah,formaa,codechipa1,codechipa2
England,Premier L,,,12/27/2020,1930,15,Liverpool,1 (1),West Bromwich,19 (19),27.872,3.588,3.05,72.128,1.386,1.38,83.2,1.202,1.15,11.206,8.924,8.38,5.594,17.875,7.18,0-0 (11.21); 2-0 (11.07); 3-0 (11.07); 0-1 ( 5.59); 2-1 ( 5.53);,6,1-1 (1-0),1,1,1,0,2067,1496,571,3.179,2.417,0.762,2.1,0.975,1.125,1.079,1.441,-0.363,55.714,47.549,44.286,52.451,16.8,0,16.6,16.6,0,66.7,33.3,0,0,0,,,3,-6,01002,01006
England,Premier L,,,12/27/2020,2215,15,Wolves,11 (8),Tottenham,6 (4),48.914,2.044,1.68,51.087,1.957,2.29,32.911,3.038,3.6,24.982,4.003,3.33,42.106,2.375,2.25,1-1 (11.38); 1-0 ( 9.27); 0-1 ( 8.90); 2-1 ( 7.98); 0-0 ( 7.25);,254,1-1 (0-1),1,1,0,1,1783,1891,-108,2.411,2.843,-0.432,1.244,1.768,-0.523,1.167,1.075,0.092,51.111,52.143,48.889,47.857,28,35.8,25.1,7.8,2.7,25.9,31.8,20,14.9,5.9,,,-3,-1,01031,01001
England,Premier L,,,12/28/2020,1800,16,C Palace,13 (13),Leicester,2 (2),55.675,1.796,1.98,44.325,2.256,1.93,32.958,3.034,3.93,26.828,3.727,3.57,40.214,2.487,2.05,1-1 (12.37); 1-0 (12.29); 0-1 ( 9.36); 0-0 ( 9.30); 1-2 ( 8.02);,283,1-1 (0-0),1,1,0,0,1675,1843,-168,2.541,2.823,-0.282,1.121,1.498,-0.377,1.42,1.325,0.095,46.619,53.498,53.381,46.502,30.2,39.9,20.4,7.4,2.1,30.8,31,20.1,13.4,3.1,,,10,2,01012,01042
England,Premier L,,,12/28/2020,2030,16,Chelsea,5 (2),Aston Villa,9 (3),53.313,1.876,2.54,46.687,2.142,1.57,50.105,1.996,1.72,25.635,3.901,4.21,24.26,4.122,4.87,1-0 (12.33); 1-1 (12.33); 2-0 ( 9.27); 2-1 ( 9.27); 0-0 ( 7.73);,277,1-1 (1-0),1,1,1,0,1852,1796,56,2.865,2.661,0.204,1.822,1,0.822,1.043,1.661,-0.618,50.178,45.455,49.822,54.545,21,33.5,25.2,12.9,5,36.8,36.8,18.7,6.4,0.7,,,-10,7,01019,01003
England,Premier L,,,12/29/2020,2100,16,Burnley,16 (16),Sheff Utd,20 (20),60.289,1.659,1.57,39.711,2.518,2.56,50.601,1.976,2.49,26.89,3.719,3.19,22.509,4.443,3.25,1-0 (17.09); 1-1 (13.24); 0-0 ( 9.90); 2-0 ( 9.46); 0-1 ( 7.67);,122,1-0 (1-0),1,0,1,0,1716,1562,154,2.373,2.113,0.259,0.975,0.887,0.089,1.397,1.226,0.171,44.608,41.509,55.392,58.491,22.3,38.5,21.3,13.9,3.2,44.4,34.4,13.1,6.5,1.6,,,14,-5,01030,01024
England,Premier L,,,12/29/2020,2100,16,Southampton,9 (5),West Ham,10 (10),52.663,1.899,1.89,47.337,2.113,2.02,46.728,2.14,2.36,25.772,3.88,3.47,27.5,3.636,3.22,1-0 (11.50); 1-1 (10.69); 2-0 ( 8.90); 0-0 ( 8.37); 2-1 ( 8.28);,371,0-0 (0-0),0,0,0,0,1821,1761,60,2.612,2.801,-0.189,1.302,1.31,-0.007,1.31,1.491,-0.181,50.534,53.737,49.466,46.263,23.5,32.3,25,13.2,4,35.6,33.1,23.1,6.7,1.3,,,1,-7,01004,01022
England,Premier L,,,12/29/2020,2100,16,West Bromwich,19 (18),Leeds,15 (12),53.606,1.865,2.4,46.394,2.155,1.63,31.11,3.214,3.84,25.922,3.858,3.84,42.968,2.327,1.99,1-1 (13.30); 1-0 (11.75); 0-1 (10.04); 0-0 ( 8.87); 2-1 ( 5.97);,49,0-5 (0-4),0,5,0,4,1515,1718,-203,2.415,3.667,-1.252,0.976,1.667,-0.691,1.439,2,-0.561,47.805,60,52.195,40,30.8,40.8,18.3,6.1,4,28.8,32.6,14.2,12.2,10.2,,,-8,-2,01006,01035
England,Premier L,,,12/29/2020,2100,16,Brighton,17 (19),Arsenal,14 (16),55.823,1.791,1.93,44.177,2.264,1.97,40.579,2.464,3.31,26.699,3.745,3.55,32.721,3.056,2.28,1-0 (12.77); 1-1 (11.75); 0-0 ( 9.32); 0-1 ( 8.57); 2-0 ( 7.99);,466,0-1 (0-0),0,1,0,0,1670,1761,-91,2.465,2.936,-0.471,0.977,1.776,-0.799,1.488,1.16,0.328,51.938,55.16,48.062,44.84,26.7,36.6,22.9,9.6,3.4,34.9,32.1,20.3,9.4,2.3,,,-10,-13,01036,01018
England,Premier L,,,12/29/2020,2300,16,Man Utd,4 (14),Wolves,11 (13),44.259,2.259,1.99,55.741,1.794,1.92,66.1,1.513,1.62,19.178,5.214,4.1,14.722,6.793,6.09,2-0 (12.80); 2-1 (10.77); 1-0 ( 9.46); 1-1 ( 7.96); 3-0 ( 7.61);,213,1-0 (0-0),1,0,0,0,1944,1783,161,2.654,2.407,0.247,1.636,1.242,0.394,1.018,1.165,-0.147,50.714,51.648,49.286,48.352,15,21.5,29.1,17.3,11.2,44,37,12.6,4.6,1.4,90,,9,-9,01020,01031
England,Premier L,,,12/30/2020,2300,16,Newcastle,13 (13),Liverpool,1 (9),43.9,2.278,2.66,56.1,1.783,1.53,16.993,5.885,10.01,20.405,4.901,6.25,62.602,1.597,1.31,0-1 (10.63); 0-2 (10.34); 1-1 ( 9.29); 1-2 ( 9.04); 0-3 ( 8.94);,147,0-0 (0-0),0,0,0,0,1671,2047,-376,2.591,3.174,-0.583,1.087,2.096,-1.009,1.504,1.078,0.426,45.868,55.872,54.132,44.128,41.2,36,15.6,4.7,1.3,14.7,25.8,25.1,21.7,8.1,,,-1,3,01016,01002
