season,date,time,country,league,home,away,code_home,code_away,ft_home,ft_away,ht_home,ht_away,result,validated,elo_home,elo_away,elo_diff,p_home,p_draw,p_away,fair_home,fair_draw,fair_away,odds_home,odds_draw,odds_away,p_over,p_under,fair_over,fair_under,odds_over,odds_under,shots,shots_on_target,corners,possession_home,possession_away,form_home,form_away,home_bonus_elo,EloDiff,Band_H,Band_A,lg_avg_gf_home,lg_avg_gf_away,lg_avg_shots_home,lg_avg_shots_away,lg_avg_sot_home,lg_avg_sot_away,lg_avg_cor_home,lg_avg_cor_away,lg_avg_poss_home,lg_avg_poss_away,datetime,elo_home_calc,elo_away_calc,EloDiff_calc,Band_H_calc,Band_A_calc,home_name_calc,away_name_calc,shots_H,shots_A,sot_H,sot_A,corners_H,corners_A,pos_H,pos_A,_stats_src,pressure_usable,xg_usable,xg_proxy_H,xg_proxy_A,shot_quality_H,shot_quality_A,finishing_luck_H,finishing_luck_A
2018-2019,8/25/2018,1800,England,Premier L,Arsenal,West Ham,1018,1022,3,1,1,1,3-1 (1-1),231,1490.1026090124922,1504.3389399600546,-14.236330947562465,52.982,25.015,22.004,1.887,3.998,4.545,1.389,5.41,8.56,46.459,53.541,2.152,1.868,1.529,2.64,,,,,,0,0,47.67456308768347,50.763669052437535,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-25,1490.1026090124922,1504.3389399600546,50.763669052437535,PEER,PEER,Arsenal,West Ham,,,,,,,,,none,0,0,,,,,,
2018-2019,8/25/2018,2030,England,Premier L,Liverpool,Brighton,1002,1036,1,0,1,0,1-0 (1-0),176,1533.160250598656,1496.4966406985068,36.66360990014937,74.424,16.111,9.465,1.344,6.207,10.566,1.165,8.69,20.73,59.092,40.908,1.692,2.444,1.37,3.2,,,,,,0,0,47.67456308768347,101.66360990014935,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-25,1533.160250598656,1496.4966406985068,101.66360990014935,PEER,PEER,Liverpool,Brighton,,,,,,,,,none,0,0,,,,,,
2018-2019,8/26/2018,1630,England,Premier L,Watford,C Palace,1025,1012,2,1,0,0,2-1 (0-0),288,1529.565050842323,1499.8962526719615,29.66879817036147,39.36,27.342,33.298,2.541,3.657,3.003,2.57,3.36,2.98,43.788,56.212,2.284,1.779,2.07,1.854,,,,,,0,0,47.67456308768347,94.66879817036148,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-26,1529.565050842323,1499.8962526719615,94.66879817036148,PEER,PEER,Watford,C Palace,,,,,,,,,none,0,0,,,,,,
2018-2019,8/26/2018,1900,England,Premier L,Newcastle,Chelsea,1016,1019,1,2,0,0,1-2 (0-0),193,1489.9895267338543,1527.8421777761423,-37.85265104228802,26.365,24.451,49.184,3.793,4.09,2.033,6.42,4.16,1.598,52.224,47.776,1.915,2.093,1.819,2.11,,,,,,0,0,47.67456308768347,27.147348957711984,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-26,1489.9895267338543,1527.8421777761423,27.147348957711984,PEER,PEER,Newcastle,Chelsea,,,,,,,,,none,0,0,,,,,,
2018-2019,8/26/2018,1900,England,Premier L,Fulham,Burnley,1010,1030,4,2,3,2,4-2 (3-2),340,1471.2131345378054,1484.5102868518336,-13.297152314028152,45.726,26.209,28.065,2.187,3.815,3.563,2.2,3.3,3.79,44.436,55.564,2.25,1.8,2.18,1.769,,,,,,0,0,47.67456308768347,51.70284768597185,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-26,1471.2131345378054,1484.5102868518336,51.70284768597185,PEER,PEER,Fulham,Burnley,,,,,,,,,none,0,0,,,,,,
2018-2019,8/27/2018,2300,England,Premier L,Man Utd,Tottenham,1020,1001,0,3,0,0,0-3 (0-0),75,1499.4280216073366,1522.8622031563511,-23.43418154901451,49.107,23.0,27.894,2.036,4.348,3.585,2.5,3.37,3.07,53.883,46.117,1.856,2.168,2.05,1.877,,,,,,0,0,47.67456308768347,41.56581845098549,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-08-27,1499.4280216073366,1522.8622031563511,41.56581845098549,PEER,PEER,Man Utd,Tottenham,,,,,,,,,none,0,0,,,,,,
2018-2019,9/1/2018,1530,England,Premier L,Leicester,Liverpool,1042,1002,1,2,0,2,1-2 (0-2),167,1515.789726665049,1540.3148849820464,-24.52515831699702,17.257,21.19,61.554,5.795,4.719,1.625,7.93,5.14,1.425,53.945,46.055,1.854,2.171,1.645,2.38,,,,,,0,0,47.67456308768347,40.47484168300298,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-09-01,1515.789726665049,1540.3148849820464,40.47484168300298,PEER,PEER,Leicester,Liverpool,,,,,,,,,none,0,0,,,,,,
2018-2019,9/1/2018,1800,England,Premier L,Chelsea,Bournemouth,1019,1063,2,0,0,0,2-0 (0-0),176,1492.555550309706,1478.6518223074977,13.90372800220848,64.441,19.784,15.774,1.552,5.054,6.339,1.303,6.2,10.66,57.616,42.384,1.736,2.359,1.44,2.85,,,,,,0,0,47.67456308768347,78.90372800220848,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-09-01,1492.555550309706,1478.6518223074977,78.90372800220848,PEER,PEER,Chelsea,Bournemouth,,,,,,,,,none,0,0,,,,,,
2018-2019,9/1/2018,1800,England,Premier L,West Ham,Wolves,1022,1031,0,1,0,0,0-1 (0-0),274,1512.1164852472093,1463.7889589045374,48.327526342671945,46.005,25.752,28.243,2.174,3.883,3.541,2.56,3.46,2.92,44.939,55.061,2.225,1.816,1.909,2.01,,,,,,0,0,47.67456308768347,113.32752634267194,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-09-01,1512.1164852472093,1463.7889589045374,113.32752634267194,PEER,PEER,West Ham,Wolves,,,,,,,,,none,0,0,,,,,,
2018-2019,9/1/2018,1800,England,Premier L,C Palace,Southampton,1012,1004,0,2,0,0,0-2 (0-0),204,1489.3420063151166,1483.9972759753998,5.344730339716762,52.711,24.962,22.326,1.897,4.006,4.479,2.0,3.49,4.26,44.843,55.157,2.23,1.813,2.2,1.757,,,,,,0,0,47.67456308768347,70.34473033971676,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-09-01,1489.3420063151166,1483.9972759753998,70.34473033971676,PEER,PEER,C Palace,Southampton,,,,,,,,,none,0,0,,,,,,
2018-2019,9/1/2018,1800,England,Premier L,Brighton,Fulham,1036,1010,2,2,0,1,2-2 (0-1),357,1461.4781106011194,1485.1240572352451,-23.64594663412595,44.531,26.371,29.098,2.246,3.792,3.437,2.26,3.42,3.47,44.084,55.916,2.268,1.788,2.01,1.917,,,,,,0,0,47.67456308768347,41.35405336587405,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-09-01,1461.4781106011194,1485.1240572352451,41.35405336587405,PEER,PEER,Brighton,Fulham,,,,,,,,,none,0,0,,,,,,
2018-2019,9/1/2018,1800,England,Premier L,Everton,Huddersfield,1017,1064,1,1,1,1,1-1 (1-1),91,1538.6219550125825,1521.0818410560248,17.54011395655766,56.303,24.144,19.553,1.776,4.142,5.114,1.507,4.25,8.06,41.34,58.66,2.419,1.705,2.14,1.793,,,,,,0,0,47.67456308768347,82.54011395655766,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-09-01,1538.6219550125825,1521.0818410560248,82.54011395655766,PEER,PEER,Everton,Huddersfield,,,,,,,,,none,0,0,,,,,,
2018-2019,9/1/2018,2030,England,Premier L,Man City,Newcastle,1009,1016,2,1,1,1,2-1 (1-1),40,1532.5227091336112,1479.209749497414,53.31295963619709,75.438,15.563,9.0,1.326,6.426,11.111,1.119,10.75,27.76,62.5,37.5,1.6,2.667,1.35,3.3,,,,,,0,0,47.67456308768347,118.31295963619708,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-09-01,1532.5227091336112,1479.209749497414,118.31295963619708,PEER,PEER,Man City,Newcastle,,,,,,,,,none,0,0,,,,,,
2018-2019,9/2/2018,1630,England,Premier L,Cardiff,Arsenal,1039,1018,2,3,1,1,2-3 (1-1),122,1487.1981391856189,1487.284604189316,-0.0864650036971852,30.084,27.158,42.758,3.324,3.682,2.339,6.33,4.46,1.561,43.169,56.831,2.316,1.76,1.671,2.33,,,,,,0,0,47.67456308768347,64.91353499630281,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-09-02,1487.1981391856189,1487.284604189316,64.91353499630281,PEER,PEER,Cardiff,Arsenal,,,,,,,,,none,0,0,,,,,,
2018-2019,9/2/2018,1900,England,Premier L,Watford,Tottenham,1025,1001,2,1,0,0,2-1 (0-0),133,1536.9057532045786,1542.4459021945313,-5.5401489899527405,16.847,20.888,62.265,5.936,4.788,1.606,5.62,3.96,1.689,56.977,43.023,1.755,2.324,1.684,2.31,,,,,,0,0,47.67456308768347,59.45985101004726,PEER,PEER,1.568421052631579,1.2526315789473683,,,,,,,,,2018-09-02,1536.9057532045786,1542.4459021945313,59.45985101004726,PEER,PEER,Watford,Tottenham,,,,,,,,,none,0,0,,,,,,
