league,tip,totalgames,totalgoals,m0005,m0610,m1115,m1620,m2125,m2630,m3135,m3640,m4145,m4650,m5155,m5660,m6165,m6670,m7175,m7680,m8185,m8690
Excelsior,Sc,85,99,1,9,7,8,3,3,3,4,10,3,5,2,6,4,8,6,7,10
Feyenoord,Sc,187,431,13,22,18,19,25,17,30,15,36,25,17,28,27,25,24,18,24,48
GA Eagles,Sc,153,213,8,11,12,8,11,6,10,10,19,7,10,13,12,8,12,11,12,33
Groningen,Sc,154,177,8,11,6,9,6,10,12,11,9,12,10,6,9,13,9,9,6,21
Heerenveen,Sc,187,248,10,16,11,6,19,15,11,14,18,7,10,13,7,17,17,14,15,28
Nijmegen,Sc,153,242,6,8,6,5,5,12,20,11,19,18,16,11,13,22,10,13,12,35
Sittard,Sc,187,224,9,17,8,7,15,7,13,6,12,11,9,13,11,17,11,17,11,30
Sparta,Sc,187,247,9,10,7,11,9,12,13,9,18,7,21,23,9,15,14,11,11,38
Telstar,Sc,17,20,1,1,0,0,2,1,0,0,5,0,0,1,3,1,1,1,1,2
Utrecht,Sc,187,297,14,9,18,10,8,11,14,10,23,19,20,15,19,18,16,17,17,39
Volendam,Sc,86,95,3,7,5,2,5,3,3,4,8,3,7,6,7,6,5,5,3,13
Zwolle,Sc,154,180,8,9,7,7,4,6,8,6,11,8,12,11,11,22,12,11,7,20
Alverca,Sc,17,17,0,0,0,1,0,0,0,1,5,0,1,0,0,1,0,2,1,5
Arouca,Sc,153,173,9,9,6,4,4,10,10,7,10,14,12,9,10,9,11,10,9,20
Aves,Sc,51,36,1,2,0,0,0,2,5,0,6,1,2,1,3,0,4,2,1,6
Benfica,Sc,187,426,14,21,21,19,22,23,22,20,43,17,23,29,18,16,21,26,13,58
Braga,Sc,187,337,17,12,16,16,14,20,8,27,23,12,20,17,14,19,16,15,19,52
Casa Pia,Sc,119,125,2,3,4,7,5,6,9,6,11,7,4,12,8,10,6,2,7,16
Estoril,Sc,153,194,9,8,7,10,10,12,7,4,22,13,12,7,7,15,6,11,12,22
Estrela,Sc,85,80,1,4,3,3,5,4,3,3,8,3,5,4,4,7,6,4,5,8
Famalicao,Sc,187,225,6,9,9,16,10,6,12,10,26,10,12,15,10,17,8,13,13,23
Gil Vicente,Sc,187,210,4,8,7,8,10,11,7,16,19,11,12,11,14,10,8,11,14,29
Moreirense,Sc,152,171,8,7,8,10,11,12,9,7,11,11,4,4,11,7,6,12,13,20
Nacional,Sc,84,80,2,5,4,3,2,1,4,5,11,5,3,8,1,7,3,1,3,12
Porto,Sc,187,397,10,17,17,21,17,10,21,21,44,28,22,30,15,21,17,23,19,44
Rio Ave,Sc,153,158,8,6,9,3,9,8,6,8,13,7,10,9,11,7,13,4,8,19
Santa Clara,Sc,152,155,8,8,6,3,9,4,9,10,12,5,10,13,5,10,8,7,10,18
Sporting,Sc,187,440,12,24,22,22,28,13,23,20,38,20,29,20,25,18,18,23,30,55
Tondela,Sc,84,89,6,2,6,6,2,2,10,2,8,3,3,6,4,2,5,6,4,12
V. Guimaraes,Sc,187,238,5,11,10,15,13,8,16,9,18,13,11,11,17,17,6,15,12,31
Botosani,Sc,171,187,8,3,7,9,7,11,11,14,14,7,15,5,10,10,10,7,17,22
Champions FC Arges,Sc,111,109,4,8,1,7,1,3,3,6,6,7,9,5,12,6,6,9,6,10
Cluj,Sc,171,283,8,13,16,13,11,13,13,18,25,14,20,10,15,16,20,16,13,29
Constanta,Sc,170,221,8,12,15,11,7,9,13,9,19,6,14,19,11,7,8,13,11,29
Csikszereda M. Ciuc,Sc,20,19,2,0,1,1,1,0,1,2,2,3,0,0,0,0,2,1,2,1
Dinamo Bucuresti,Sc,141,145,6,6,5,9,6,6,11,4,13,8,4,10,9,5,8,7,8,20
FCSB,Sc,171,289,13,15,17,15,16,13,12,11,17,18,16,20,9,16,17,14,8,42
Hermannstadt,Sc,141,145,8,8,10,4,3,6,9,3,6,7,16,10,10,4,6,5,8,22
Metaloglobus Bucharest,Sc,19,16,1,0,1,1,1,1,0,0,0,3,3,2,0,0,0,2,0,1
Otelul,Sc,81,87,5,4,4,5,5,2,5,6,7,0,6,5,9,2,5,7,4,6
Petrolul P.,Sc,111,102,2,4,6,4,9,8,3,3,7,3,8,6,7,5,3,5,6,13
Rapid B.,Sc,140,196,10,13,11,11,11,7,6,12,17,3,14,15,6,7,13,6,13,21
U. Cluj,Sc,111,129,5,6,3,5,4,7,5,12,10,2,9,8,11,9,6,7,7,13
Unirea Slobozia,Sc,51,49,0,2,1,3,2,3,5,3,6,2,1,3,3,0,2,3,3,7
Univers. Craiova,Sc,171,254,6,10,10,13,8,14,20,13,24,9,14,17,14,13,16,11,10,32
Uta Arad,Sc,171,169,6,7,12,5,6,10,8,11,17,7,4,7,8,4,12,12,9,24
