country,league,alert,verif,sezonul,datameci,orameci,etapa,txtechipa1,place1t,place1a,txtechipa2,place2t,place2d,customh,customa,home_val,avghome,home_val_2,home_val_3,home_val_4,home_val_5,away_val,avgaway,away_val_2,away_val_3,away_val_4,away_val_5,cotaa,cotae,cotad,cotao0,cotau0,cotao1,cotau1,cotao,cotau,cotao3,cotau3,cotao4,cotau4,gg,ng,result,scor1,scor2,scorp1,scorp2,formah,formaa,formadif,h2h,suth,suta,sutht,sutat,corh,cora,foulsh,foulsa,yellowh,yellowa,ballph,ballpa,goalminh,goalmina,swinh,sdrawh,slosth,sscoreh,sreceiveh,soverh,sunderh,swina,sdrawa,slosta,sscorea,sreceivea,sovera,sundera,jucatori1,jucatori2,wdlh1,wdlh2,wdlh3,wdlh4,wdlh5,wdla1,wdla2,wdla3,wdla4,wdla5,custom3,custom4,codechipa1,codechipa2
"England","Premier L","","","26",13/09/2025,"1800","04","Bournemouth"," 7","10","Brighton","10","16",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.390,3.580,2.980,1.040,13.000,1.220,4.330,1.700,2.240,2.700,1.490,5.000,1.170,1.560,2.450,"2-1 (1-0)",2,1,1,0,0,0,0,"",13,6,5,2,4,4,16,10,4,4,51,49,"18;61","48","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01063","01036"
"England","Premier L","","","26",13/09/2025,"1800","04","C Palace"," 8","14","Sunderland"," 6","17",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.700,3.750,5.530,1.070,9.000,1.360,3.290,2.210,1.720,3.430,1.330,8.000,1.080,2.030,1.810,"0-0 (0-0)",0,0,0,0,0,0,0,"",14,6,6,0,5,3,10,8,1,1,56,44,"","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01012","01021"
"England","Premier L","","","26",13/09/2025,"1800","04","Everton"," 5"," 9","Aston Villa","19","14",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.430,3.450,3.020,1.060,10.000,1.310,3.630,2.000,1.890,3.470,1.330,6.500,1.110,1.740,2.120,"0-0 (0-0)",0,0,0,0,0,0,0,"",20,7,2,1,10,3,17,15,3,3,48,52,"","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01017","01003"
"England","Premier L","","","26",13/09/2025,"1800","04","Fulham","18","15","Leeds","12","20",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.970,3.550,4.090,1.060,10.000,1.320,3.540,2.070,1.830,3.450,1.330,7.000,1.100,1.860,1.980,"1-0 (0-0)",1,0,0,0,0,0,0,"",5,10,3,3,3,3,20,15,1,2,54,46,"90","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01010","01035"
"England","Premier L","","","26",13/09/2025,"1800","04","Newcastle","17","17","Wolves","20","15",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.400,5.070,7.770,1.040,13.000,1.250,4.000,1.760,2.130,2.920,1.430,5.000,1.170,1.990,1.850,"1-0 (1-0)",1,0,1,0,0,0,0,"",16,8,4,3,9,4,10,17,1,4,57,43,"29","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01016","01031"
"England","Premier L","","","26",13/09/2025,"2030","04","West Ham","16","19","Tottenham"," 4"," 4",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.580,3.630,2.090,1.050,11.000,1.250,3.900,1.810,2.080,2.970,1.420,5.500,1.140,1.670,2.230,"0-3 (0-0)",0,3,0,0,0,0,0,"",7,14,4,5,2,13,8,7,0,1,36,64,"","47;57;64","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01022","01001"
"England","Premier L","","","26",13/09/2025,"2300","04","Brentford","14","11","Chelsea"," 2"," 2",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.490,3.850,1.810,1.040,13.000,1.220,4.330,1.740,2.170,2.840,1.450,5.000,1.170,1.680,2.220,"2-2 (1-0)",2,2,1,0,0,0,0,"",7,16,4,6,5,6,13,9,3,2,34,66,"35;90","61;85","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01059","01019"
"England","Premier L","","","26",14/09/2025,"1700","04","Burnley","15"," 8","Liverpool"," 1"," 5",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.500,5.700,1.330,1.020,19.000,1.170,5.000,1.530,2.610,2.320,1.650,4.000,1.250,1.890,1.970,"0-1 (0-0)",0,1,0,0,0,0,0,"",3,27,0,4,1,13,9,9,2,2,19,81,"","90","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01030","01002"
"England","Premier L","","","26",14/09/2025,"1930","04","Man City","13","18","Man Utd"," 9","11",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.770,4.050,4.530,1.030,15.000,1.170,5.000,1.590,2.490,2.430,1.610,4.330,1.220,1.570,2.460,"3-0 (1-0)",3,0,1,0,0,0,0,"",13,12,6,2,2,4,8,8,0,0,45,55,"18;53;68","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01009","01020"
"England","Premier L","","","26",20/09/2025,"1530","05","Liverpool"," 1"," 3","Everton"," 6"," 6",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.540,4.400,6.500,1.030,13.700,1.240,4.210,1.730,2.200,2.800,1.460,5.010,1.180,1.860,2.020,"2-1 (2-0)",2,1,2,0,0,0,0,"",11,9,3,2,5,4,11,10,2,3,57,43,"10;29","58","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01002","01017"
"England","Premier L","","","26",20/09/2025,"1800","05","Brighton","13"," 8","Tottenham"," 3"," 1",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.280,3.740,3.100,1.030,13.700,1.210,4.560,1.670,2.330,2.670,1.510,4.450,1.220,1.600,2.460,"2-2 (2-1)",2,2,2,1,0,0,0,"",12,11,4,3,2,10,10,13,1,2,36,64," 8;31","43;82","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01036","01001"
"England","Premier L","","","26",20/09/2025,"1800","05","Burnley","17","13","Nottingham","15","15",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.460,3.370,2.260,1.070,9.000,1.340,3.470,2.090,1.810,3.430,1.330,8.080,1.090,1.820,2.060,"1-1 (1-1)",1,1,1,1,0,0,0,"",12,17,5,8,4,5,12,11,1,1,37,63,"20"," 2","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01030","01037"
"England","Premier L","","","26",20/09/2025,"1800","05","West Ham","18","20","C Palace"," 9"," 4",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.260,3.400,2.340,1.030,13.000,1.320,3.610,2.010,1.900,3.510,1.330,5.810,1.140,1.710,2.230,"1-2 (0-1)",1,2,0,1,0,0,0,"",8,18,3,3,8,8,15,5,3,3,57,43,"49","37;68","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01022","01012"
"England","Premier L","","","26",20/09/2025,"1800","05","Wolves","20","19","Leeds","16","20",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.850,3.170,2.770,1.090,8.000,1.400,3.010,2.320,1.660,3.370,1.300,9.480,1.060,1.950,1.920,"1-3 (1-3)",1,3,1,3,0,0,0,"",16,6,6,4,4,0,11,9,1,1,56,44," 8","31;39;45","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01031","01035"
"England","Premier L","","","26",20/09/2025,"2030","05","Man Utd","14","14","Chelsea"," 5"," 3",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.710,3.690,2.580,1.020,14.500,1.170,5.320,1.590,2.440,2.430,1.600,4.120,1.250,1.510,2.690,"2-1 (2-0)",2,1,2,0,0,0,0,"",11,5,4,1,5,5,13,14,2,5,41,59,"14;37","80","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01020","01019"
