match_id,date,h_team,a_team,team,h_a,minute,player,shot_id,result,situation,shotType,xG,X,Y,fast_break,isKeyPass,dist_m,angle_deg,is_header
26983,2024-08-15 19:30:00,Real Betis,Girona,,a,87,Gabriel Misehouy,584587,BlockedShot,OpenPlay,RightFoot,0.1275573968887329,0.9230000305175782,0.5540000152587891,,,8.879795313286136,42.11873881464507,0
26983,2024-08-15 19:30:00,Real Betis,Girona,,h,89,Youssouf Sabaly,584588,BlockedShot,OpenPlay,RightFoot,0.12188225239515305,0.9080000305175782,0.4229999923706055,,,10.987776823585051,33.376317647406076,0
26983,2024-08-15 19:30:00,Real Betis,Girona,,h,90,Nabil Fekir,584589,MissedShots,OpenPlay,LeftFoot,0.014977737329900265,0.71,0.5170000076293946,,,30.471935238830227,13.688542130909719,0
26983,2024-08-15 19:30:00,Real Betis,Girona,,a,92,Iker Almena,584590,MissedShots,OpenPlay,LeftFoot,0.04078073054552078,0.784000015258789,0.3110000038146973,,,26.06829922833171,13.993934001752276,0
26984,2024-08-16 17:00:00,Celta Vigo,Alaves,,a,16,Kike García,584543,Goal,OpenPlay,Head,0.310863196849823,0.9269999694824219,0.45799999237060546,,,8.179792973297614,46.355768502277215,1
26984,2024-08-16 17:00:00,Celta Vigo,Alaves,,h,22,Fran Beltrán,584544,MissedShots,OpenPlay,RightFoot,0.02452920936048031,0.7819999694824219,0.6459999847412109,,,24.950298797658082,15.380302330099804,0
26984,2024-08-16 17:00:00,Celta Vigo,Alaves,,a,38,Jon Guridi,584545,MissedShots,OpenPlay,Head,0.026785288006067276,0.8390000152587891,0.4809999847412109,,,16.954298496596426,24.300881814271833,1
26984,2024-08-16 17:00:00,Celta Vigo,Alaves,,a,47,Kike García,584546,MissedShots,OpenPlay,Head,0.10749171674251556,0.89,0.47400001525878904,,,11.68453338097229,34.47446466842027,1
26984,2024-08-16 17:00:00,Celta Vigo,Alaves,,a,52,Antonio Blanco,584547,MissedShots,OpenPlay,RightFoot,0.019451217725872993,0.7290000152587891,0.6359999847412109,,,29.92010057852313,13.290026166193476,0
26984,2024-08-16 17:00:00,Celta Vigo,Alaves,,h,62,Iago Aspas,584548,SavedShot,OpenPlay,Head,0.3467632532119751,0.9359999847412109,0.4779999923706055,,,6.884507178110287,55.34743562567583,1
