date,home,away
2026-04-25 12:30:00,FC Cologne,Leverkusen
2026-04-25 12:30:00,Hamburger SV,Hoffenheim
2026-04-25 12:30:00,FC Heidenheim,St. Pauli
2026-04-25 12:30:00,Mainz 05,Bayern Munich
2026-04-25 12:30:00,RasenBallsport Leipzig,Union Berlin
2026-04-25 12:30:00,Stuttgart,Werder Bremen
2026-04-25 12:30:00,Wolfsburg,Borussia M.Gladbach
2026-05-02 12:30:00,Leverkusen,RasenBallsport Leipzig
2026-05-02 12:30:00,Bayern Munich,FC Heidenheim
2026-05-02 12:30:00,Borussia M.Gladbach,Dortmund
2026-05-02 12:30:00,Ein Frankfurt,Hamburger SV
2026-05-02 12:30:00,Freiburg,Wolfsburg
2026-05-02 12:30:00,Hoffenheim,Stuttgart
2026-05-02 12:30:00,St. Pauli,Mainz 05
2026-05-02 12:30:00,Union Berlin,FC Cologne
2026-05-02 12:30:00,Werder Bremen,Augsburg
2026-05-09 12:30:00,Augsburg,Borussia M.Gladbach
2026-05-09 12:30:00,Dortmund,Ein Frankfurt
2026-05-09 12:30:00,FC Cologne,FC Heidenheim
2026-05-09 12:30:00,Hamburger SV,Freiburg
2026-05-09 12:30:00,Hoffenheim,Werder Bremen
2026-05-09 12:30:00,Mainz 05,Union Berlin
2026-05-09 12:30:00,RasenBallsport Leipzig,St. Pauli
2026-05-09 12:30:00,Stuttgart,Leverkusen
2026-05-09 12:30:00,Wolfsburg,Bayern Munich
2026-05-16 12:30:00,Leverkusen,Hamburger SV
2026-05-16 12:30:00,Bayern Munich,FC Cologne
2026-05-16 12:30:00,Borussia M.Gladbach,Hoffenheim
2026-05-16 12:30:00,Ein Frankfurt,Stuttgart
2026-05-16 12:30:00,Freiburg,RasenBallsport Leipzig
2026-05-16 12:30:00,FC Heidenheim,Mainz 05
2026-05-16 12:30:00,St. Pauli,Wolfsburg
2026-05-16 12:30:00,Union Berlin,Augsburg
2026-05-16 12:30:00,Werder Bremen,Dortmund
