date,league,season,home,away,score,bot_prediction_available,bot_ou_pred,bot_btts_pred,bot_ou_result,bot_btts_result
2026-01-17,Primeira L,2025-2026,Alverca,Moreirense,0-0,no,,,,
2026-01-17,Primeira L,2025-2026,Aves,Arouca,0-0,no,,,,
2026-01-17,Primeira L,2025-2026,Gil Vicente,Nacional,0-0,no,,,,
2026-01-17,Primeira L,2025-2026,Rio Ave,Benfica,0-0,no,,,,
2026-01-17,Primera,2025-2026,Betis,Villarreal,0-0,no,,,,
2026-01-17,Primera,2025-2026,Mallorca,Bilbao,0-0,no,,,,
2026-01-17,Primera,2025-2026,Osasuna,Oviedo,0-0,no,,,,
2026-01-17,Primera,2025-2026,Real Madrid,Levante,0-0,no,,,,
2026-01-17,Serie A,2025-2026,Cagliari,Juventus,0-0,no,,,,
2026-01-17,Serie A,2025-2026,Napoli,Sassuolo,0-0,no,,,,
2026-01-17,Serie A,2025-2026,Udinese,Inter,0-0,no,,,,
2026-01-17,Serie B,2025-2026,Avellino,Carrarese,0-0,no,,,,
2026-01-17,Serie B,2025-2026,Bari 1908,Stabia,0-0,no,,,,
2026-01-17,Serie B,2025-2026,Empoli,Sudtirol,0-0,no,,,,
2026-01-17,Serie B,2025-2026,Monza,Frosinone,0-0,no,,,,
2026-01-17,Serie B,2025-2026,Padova,Mantova,0-0,no,,,,
2026-01-17,Serie B,2025-2026,Reggiana,Cesena,0-0,no,,,,
2026-01-17,Serie B,2025-2026,Venezia,Catanzaro,0-0,no,,,,
2026-01-16,Bundesliga,2025-2026,Bremen,Frankfurt,0-0,no,,,,
2026-01-16,Championship,2025-2026,West Bromwich,Middlesbrough,0-0,no,,,,
2026-01-16,Liga 1,2025-2026,Champions FC Arges,FCSB,0-0,no,,,,
2026-01-16,Ligue 1,2025-2026,AS Monaco,Lorient,0-0,no,,,,
2026-01-16,Ligue 1,2025-2026,PSG,Lille,0-0,no,,,,
2026-01-16,Ligue 2,2025-2026,Annecy,Amiens,0-0,no,,,,
2026-01-16,Ligue 2,2025-2026,Boulogne,Montpellier,0-0,no,,,,
2026-01-16,Ligue 2,2025-2026,Dunkerque,Pau,0-0,no,,,,
2026-01-16,Ligue 2,2025-2026,Laval,Bastia,0-0,no,,,,
2026-01-16,Ligue 2,2025-2026,Rodez,Le Mans,0-0,no,,,,
2026-01-16,Primeira L,2025-2026,Sporting,Casa Pia,0-0,no,,,,
2026-01-16,Primera,2025-2026,Espanyol,Girona,0-0,no,,,,
2026-01-16,Serie A,2025-2026,Pisa,Atalanta,0-0,no,,,,
2026-01-16,Serie B,2025-2026,Sampdoria,Entella,0-0,no,,,,
